,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
1,Christian McCaffrey*+,SFO,27,RB,16,16,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7%,6.8,272,1459,14,83,54.0,72,5.4,91.2,17.0,339,6.0,2023,21,3,McCaCh01
2,CeeDee Lamb*+,DAL,24,WR,17,17,181,135,1749,13.0,12,80,63.5,92,7.9,102.9,74.6%,9.7,14,113,2,6,85.7,24,8.1,6.6,0.8,149,12.5,1862,14,3,LambCe00
3,Tyreek Hill*+,MIA,29,WR,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6%,10.5,6,15,0,2,33.3,14,2.5,0.9,0.4,125,14.5,1814,13,1,HillTy00
4,Breece Hall,NYJ,22,RB,17,16,95,76,591,7.8,4,28,40.0,50,4.5,34.8,80.0%,6.2,223,994,5,40,39.5,83,4.5,58.5,13.1,299,5.3,1585,9,2,HallBr03
5,Puka Nacua*,LAR,22,WR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6%,9.3,12,89,0,5,58.3,31,7.4,5.2,0.7,117,13.5,1575,6,1,NacuPu00
6,James Cook*,BUF,24,RB,17,13,54,44,445,10.1,4,16,59.3,48,2.6,26.2,81.5%,8.2,237,1122,2,53,55.7,42,4.7,66.0,13.9,281,5.6,1567,6,4,CookJa01
7,Amon-Ra St. Brown*+,DET,24,WR,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6%,9.2,4,24,0,2,75.0,11,6.0,1.5,0.3,123,12.5,1539,10,1,StxxAm00
8,Rachaad White,TAM,24,RB,17,17,70,64,549,8.6,3,23,54.3,43,3.8,32.3,91.4%,7.8,272,990,6,46,40.8,38,3.6,58.2,16.0,336,4.6,1539,9,3,WhitRa01
9,Travis Etienne,JAX,24,RB,17,17,73,58,476,8.2,1,23,49.3,56,3.4,28.0,79.5%,6.5,267,1008,11,53,43.1,62,3.8,59.3,15.7,325,4.6,1484,12,,EtieTr00
10,Bijan Robinson,ATL,21,RB,17,16,86,58,487,8.4,4,24,45.3,71,3.4,28.6,67.4%,5.7,214,976,4,50,43.5,38,4.6,57.4,12.6,272,5.4,1463,8,4,RobiBi01
11,A.J. Brown*,PHI,26,WR,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1%,9.2,,,0,0,,,,,,106,13.7,1456,7,2,BrowAJ00
12,Joe Mixon,CIN,27,RB,17,17,64,52,376,7.2,3,14,54.7,45,3.1,22.1,81.3%,5.9,257,1034,9,59,49.4,44,4.0,60.8,15.1,309,4.6,1410,12,,MixoJo00
13,D.J. Moore,CHI,26,WR,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6%,10.0,4,21,1,1,50.0,16,5.3,1.2,0.2,100,13.9,1385,9,1,MoorD.00
14,Derrick Henry*,TEN,29,RB,17,17,36,28,214,7.6,0,7,44.4,46,1.6,12.6,77.8%,5.9,280,1167,12,63,46.1,69,4.2,68.6,16.5,308,4.5,1381,12,,HenrDe00
